key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
90,Lund University,Lund University,Sweden,39.7,74.1,53.6,81.3,70.4,59.7,90,0,0,0,0,0,Lund University,59.7,39.7,53.6,81.3,74.1,70.4,0,Lund University
90,Ohio State University,Ohio State University,United States of America,51.6,53,46.6,83.2,53.1,59.7,90,0,0,0,0,0,Ohio State University,59.7,51.6,46.6,83.2,53,53.1,0,Ohio State University
93,University of Exeter,University of Exeter,United Kingdom,39.4,87.3,40,94.3,31.9,59.5,93,0,0,0,0,0,University of Exeter,59.5,39.4,40,94.3,87.3,31.9,0,University of Exeter
94,University of Bonn,University of Bonn,Germany,45.1,63.6,47.5,85.3,46.86,58.8,94,0,0,0,0,0,University of Bonn,58.8,45.1,47.5,85.3,63.6,46.86,0,University of Bonn
94,Georgetown University,Georgetown University,United States of America,54.4,52.7,39.3,82.5,80.7,58.8,94,0,0,0,0,0,Georgetown University,58.8,54.4,39.3,82.5,52.7,80.7,0,Georgetown University
94,McMaster University,McMaster University,Canada,39.8,76.1,44.8,84.9,88,58.8,94,0,0,0,0,0,McMaster University,58.8,39.8,44.8,84.9,76.1,88,0,McMaster University
97,University of Sheffield,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,43.4,58.6,97,0,0,0,0,0,University of Sheffield,58.6,42.4,48.8,80.1,81.9,43.4,0,University of Sheffield
98,Queen Mary University of London,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,36.8,58.5,98,0,0,0,0,0,Queen Mary University of London,58.5,34.1,41.3,93.3,93.5,36.8,0,Queen Mary University of London
99,University of Gí€Œ_ttingen,University of Gí€Œ_ttingen,Germany,49.3,56.4,54.5,72.7,31.8,58,99,0,0,0,0,0,University of Gí€Œ_ttingen,58,49.3,54.5,72.7,56.4,31.8,0,University of Gí€Œ_ttingen
99,Michigan State University,Michigan State University,United States of America,47.3,56.4,52.6,76.8,32.2,58,99,0,0,0,0,0,Michigan State University,58,47.3,52.6,76.8,56.4,32.2,0,Michigan State University
101,University of Basel,University of Basel,Switzerland,39.5,94.7,33.1,88.3,99.9,57.9,101,0,0,0,0,0,University of Basel,57.9,39.5,33.1,88.3,94.7,99.9,0,University of Basel
101,í€äóÁcole Polytechnique,í€äóÁcole Polytechnique,France,53.5,92.8,44.6,64.7,82.3,57.9,101,0,0,0,0,0,í€äóÁcole Polytechnique,57.9,53.5,44.6,64.7,92.8,82.3,0,í€äóÁcole Polytechnique
101,Rice University,Rice University,United States of America,37.9,66.6,35.1,99.7,41.7,57.9,101,0,0,0,0,0,Rice University,57.9,37.9,35.1,99.7,66.6,41.7,0,Rice University
104,Dartmouth College,Dartmouth College,United States of America,50.7,38.3,35.8,93.3,40.8,57.8,104,0,0,0,0,0,Dartmouth College,57.8,50.7,35.8,93.3,38.3,40.8,0,Dartmouth College
104,University of Zurich,University of Zurich,Switzerland,49.5,90.4,31.5,85.4,44,57.8,104,0,0,0,0,0,University of Zurich,57.8,49.5,31.5,85.4,90.4,44,0,University of Zurich
106,Aarhus University,Aarhus University,Denmark,36.9,76.8,50.7,79.8,68.3,57.7,106,0,0,0,0,0,Aarhus University,57.7,36.9,50.7,79.8,76.8,68.3,0,Aarhus University
106,"University of California, Irvine","University of California, Irvine",United States of America,39.9,59.2,41.8,91.6,48.9,57.7,106,0,0,0,0,0,"University of California, Irvine",57.7,39.9,41.8,91.6,59.2,48.9,0,"University of California, Irvine"
106,University of Mannheim,University of Mannheim,Germany,34.5,64.6,47.7,86.9,85.3,57.7,106,0,0,0,0,0,University of Mannheim,57.7,34.5,47.7,86.9,64.6,85.3,0,University of Mannheim
108,University of Notre Dame,University of Notre Dame,United States of America,47.6,47.6,48.1,81.7,33.7,57.6,108,0,0,0,0,0,University of Notre Dame,57.6,47.6,48.1,81.7,47.6,33.7,0,University of Notre Dame
109,University of Western Australia,University of Western Australia,Australia,33.4,92.6,46.1,83.6,64.5,57.5,109,0,0,0,0,0,University of Western Australia,57.5,33.4,46.1,83.6,92.6,64.5,0,University of Western Australia
